1001,,,,,,,,,,,,,
1002,,,,,,,,,,,,,
1003," Посетив парк, Вы узнаете, какая утварь была в каждой крестьянской избе. Увидите сани-розвальни, зыбку, глядельце, светец и еще множество необходимых в крестьянском быту предметов. Купеческая лавка поражает коллекцией русских самоваров, утюгов и машин «Зингер». "," Для детей настоящим сюрпризом станет Балаган. Здесь множество разноцветных матрешек, пирамидок и деревянных медведей, с которыми можно поиграть. "," А в единственном в нашем крае музее Ермака Вас ждет сам завоеватель и покоритель Сибири Ермак Тимофеевич. На картинах, панно Вы увидите сцены из его похода. И что особо волнительно, сможете подержать в руках оружие времен Ермака. Дорога до этнопарка проходит по местам, где в XVI веке Ермак шел со своей дружиной. Вы услышите предания, сказания о реке Чусовой и Ермаке. ",,,,,,,,,,
1004," Каменский был личностью разносторонней и неоднозначной. В компании с Маяковским, Бурлюком и Хлебниковым открыл русское направление футуризма и окрестил себя, любимого, его же матерью (русского футуризма). "," В музее Вы также узнаете, кто же был отцом русского футуризма. За самое короткое время изучил теорию и практику воздухоплавания, приобрел аэроплан и первым пролетел над Пермской землей. Правда, парил Каменский недолго, через два года в польском городке Честохове произошла авиакатастрофа, в результате которой серьезно пострадал самолет, поэт остался жив. "," По определению некоторых, футуристы – это панки серебряного века русской поэзии. Их любили и не понимали, не выносили и боготворили. Хулиганские выходки прошлого века остались в истории, их произведения изучают в обязательной школьной программе. А познакомиться с творчеством нашего земляка Василия Каменского можно в селе Троица Пермского края. ",,,,,,,,,,
1005, На правом берегу уникального пруда находится единственный в мире музей ложки. ," В основе музея – уникальная коллекция ложек. Музей такого профиля возник именно в Нытве потому, что местный металлургический завод обеспечивал ложками и прочими столовыми приборами чуть ли не пол-России. ", В его коллекциях уже более 1700 экспонатов! Самым ценным экспонатом являются ложки ломоватовской археологической культуры VII-VIII вв. Точно такие же хранятся в Экрмитаже! ," Экскурсоводы расскажут Вам много интересного об истории ложек и вилок, их видах, ложках разных народов, традициях и обрядах, а также об этикете сервировки и правилах поведения за столом. Будет интересно и полезно! ",,,,,,,,,
1006," {""Лето 1774 года – особая страница в истории Осы. 18 июня Емельян Пугачёв осадил город. Крепость защищали храбрые воины, недаром предводитель крестьянского бунта сказал""=>""« Мал городок, да кусается, как оса».""} "," Приезжайте в Осу. Побродите по её улочкам, всмотритесь в экспонаты музея, почувствуйте обаяние, ауру и романтику старого города, складывающуюся веками… ",,,,,,,,,,,
1007," Мы побываем в оркестровой яме и на сцене. Затем путь экскурсантов лежит через цеха; в гримёрном артисты меняют обличья и примеряют новые парики; в обувном на свет появляются новые пуанты; в швейном создаются знаменитые белые пачки балерин. По ходу путешествия экскурсоводы рассказывают о главных событиях в истории старейшего театра на Урале. И, конечно, вспоминают интересные случаи из театральной жизни , например, как легендарный авиатор Чкалов во время спектакля спас певицу, когда на голове у неё внезапно вспыхнул парик или почему «потерялся» один театральный сезон. ", В финале экскурсии путешественники проходят через хоровые и балетные репетиционные классы и делают остановку на балконе. Здесь для многих наступает самый необычный и увлекательный момент - гости получают возможность облачиться в костюмы из репертуарных спектаклей и сфотографироваться в них на память. ,,,,,,,,,,,
1008," За пару часов Вы познакомитесь с основными религиями мира, которые сформировали культурное наследие человечества – православие, католицизм, протестантизм, иудаизм и ислам. Побывав в костеле, синагоге, мечети, лютеранской кирхи и в и в православном храме Вы ощутите настоящую атмосферу религиозных обрядов. ",,,,,,,,,,,,
1009," В смутные времена 1937 г. вся территория Пермской области становится фактически учреждением ГУЛАГа. «Край волчих стай» - так называли заключенные Прикаье. И на это были основания – побеги из лесных лагерей были практически невозможны. У огромной части пермской интеллигенции – от инженеров до балерин и преподавателей - в биографии вы увидите - «был осужден», «отбывал наказание»… "," Подробно об этом мрачном периоде вы можете узнать, посетив музей «Пермь – 36», на этой территории в 1970-1980 –х гг. располагался лагерь для политзаключенных. "," Мы посетим зоны строгого и особого режимов. В бараке с обстановкой тех лет рассмотри экспозицию, повествующую о судьбах узников лагеря. Также увидим шизо – штрафной изолятор, куда помещали самых «непослушных» заключенных. "," Особое впечатление производят километры проволоки, контрольно – следовая полоса и другие степени защиты, включая электрический ток. И, пожалуй, самое приятное ощущение – после завершения экскурсии выйти из музея «на свободу». ",,,,,,,,,
1010," Вам расскажут много удивительных фактов из жизни этих животных и о том, как они прижились у нас на Урале. Вы можете их сфотографировать и покормить, а некоторых погладить и подержать на руках. "," После экскурсии в гостевой комнате Вам предложат горячий чай с печеньем и конфетами и продегустировать копченное мясо страуса. Вы получите не только «огромный багаж» полезной информации, но и массу незабываемых впечатлений!!! ",,,,,,,,,,,
1011," Во время игровой программы мы узнаем о том, как запрягают лошадей, как управляют ими, как и чем их кормят, как подковывают. Мы посетим конюшни племенных лошадей и домашний зоопарк, где увидим козочек, курочек, кроликов, овечек, индюшек и хрюшек. Также, совершим экскурсию по территории клуба и в музей лошади. И, конечно, каждый сможет ПОКАТАТЬСЯ на лошади! ",,,,,,,,,,,,
1012," Во время игровой программы мы узнаем о том, как запрягают лошадей, как управляют ими, как и чем их кормят, как подковывают. Мы посетим конюшни племенных лошадей и домашний зоопарк, где увидим козочек, курочек, кроликов, овечек, индюшек и хрюшек. Также, совершим экскурсию по территории клуба и в музей лошади. И, конечно, каждый сможет ПОКАТАТЬСЯ на лошади! ",,,,,,,,,,,,
