1001,Ракетный щит Урала," ЗАТО Звездный, бункер-музей",Приглашаем Вас посетить военный городок артиллеристов и ракетчиков Прикамья – Звездный!,"Вместе с Вами мы прогуляемся по городку, посетим музей 52-й ракетной дивизии, расположенный в бункере под землей – бывший командный пункт, посоревнуемся в меткости в тире, нажмем легендарную красную кнопку запуска ракет, ощутим вкус блюд полевой кухни (для организованных групп), и, конечно, примерим солдатскую форму.",TODO,4 часа
1002,Мой друг Хаски, Клуб северных ездовых собак,Приглашаем Вас на экскурсию в Клуб северных ездовых собак.,"Тесный тактильный и эмоциональный контакт с собакой оказывают положительное влияние на психологическое состояние детей. Есть даже термин «канис-терапия», специалисты которой отмечают поразительные возможности лечения детей при помощи «лохматых четвероногих целителей».",TODO,3.5-4 часа
1003,Парк истории реки Чусовой, Этнографический парк,"Приглашаем Вас в незабываемое путешествие в старину - к Ермаку, русским самоварам, лаптям и игрушкам.","Чусовской этнографический парк, расположенный около г. Чусового, рядом со спортивной школой «Огонек» – место необычное. Здесь воссоздается атмосфера русской старины. Дома с праздничной резьбой, симпатичные церкви, расписные карусели с лошадками, забавные яркие вывески напоминают иллюстрации к русским сказкам. По деревенской улочке прогуливаются гуси, рядом в доме находятся кролики… В этнопарке течет своя особая жизнь.",TODO,8.5-9 часов
1004,Каменский – мать русского футуризма," пос. Троица, музей Каменского","Приглашаем Вас в старинное село Троица, что расположено в живописном месте слияния трех рек.","Троица – популярное место для дач. Однако примечательно село не только этим. Здесь в свое время жил и трудился великий русский поэт, основатель русского футуризма – Василий Каменский. Мы посетим мемориальный дом-музей В.В Каменского, в котором в 1932-1951 годах проживал поэт.",TODO,4-4.5 часа
1005,Нытва – уголок России," г. Нытва, музей ложки",Приглашаем Вас совершить путешествие в город Нытву!,"Слово «Нытва» переводится как «зеленая вода» и означает большой пруд, на берегах которого строился и развивался г. Нытва. Мы увидим крупнейший в Пермском крае, а многие считают, что и во всей Европе пруд. Он растянулся на 7 км в длину, и на 1.5 км в ширину!",TODO,4.5-5 часа
1006,Романтика старого города, г. Оса,"Приглашаем Вам посетить старинный город ОСУ, богатую на исторические события.","Оса, один из старейших городов Пермского края, насчитывающий 420 лет. О ней писали в своих произведениях А. С. Пушкин, В. Я. Шишков, В. С. Пикуль. Через этот городок к берегам Северной Америки (Аляска) проследовала Вторая Камчатская экспедиция Витуса Беренга. В 1937 году близ Осы снимался популярный фильм « Волга-Волга».",TODO,9 часов
1007,Закулисье," Экскурсия в театр, мастерские, фотосессия в костюмах","Приглашаем Вас зайти в театр не с парадного, а со служебного входа, чтобы своими глазами увидеть рождение волшебного мира оперы и балета!","Путешествие начинается на подступах к театру – Театрального сквера. Вы узнаете его легенды и тайны. Далее, в вестибюле театра мы увидим памятник Петру Ильичу Чайковскому , имя которого Пермский театр оперы и балета носит с 1965 года.",TODO,"1,5-2 часа"
1008,Мировые религии в Перми," Мечеть, синагога, кирха, костел, храм",Приглашаем Вас на одну из самых разноплановых и увлекательных экскурсий в мире!,"Знаете ли вы, где в Перми находятся католический собор? Хотите посетить Синагогу и Мечеть? Пермь всегда была гостеприимным домом для множества народов, населявших Россию. Здесь издавна жили татары, армяне, немцы, поляки, евреи, башкиры и удмурты. Часть из гостей Перми приняла православие. Другие сохранили свою религию и построили свои храмы. Все они мирно сосуществовали с православными святынями, придавая облику Перми черты настоящей миролюбивой столицы губернии Прикамья.",TODO,2.5-3 часа
1009,Пермь-36, История пермского ГУЛАГа,Приглашаем Вас посетить военный городок артиллеристов и ракетчиков Прикамья – Звездный!,Расширенная экскурсионная программа с просмотром фильма.,TODO,7 часов
1010,"Крылья, уши, хвост"," Фермерская усадьба, чаепитие, дегустация",Приглашаем Вас на загородную экскурсию в настоящее фермерское хозяйство!,"Фермеры занимаются разведением чёрных африканских страусов, индеек разных пород. На ферме также есть цесарки, утки, гуси, породистые куры, дикие кабаны, кролики, козы, овцы и даже ТРАВЯНЫЕ свиньи и канадские БИЗОНЫ!",TODO,4 часа
