1001,,,,,,,,,,,,,
1002,,,,,,,,,,,,,
1003,,,,,,,,,,,,,
1004,,,,,,,,,,,,,
1005,,,,,,,,,,,,,
1006,,,,,,,,,,,,,
1007,,,,,,,,,,,,,
1008," Об архитектуре, внутреннем и внешнем убранстве этих зданий; ", О назначении культовых предметов и религиозных символов; , Об историческом пути разных религий в Перми; , Особенностях их вероучения; , О священных книгах и порядке богослужений. ,,,,,,,,
1009,,,,,,,,,,,,,
1010,,,,,,,,,,,,,
1011,,,,,,,,,,,,,
1012,,,,,,,,,,,,,
1013,,,,,,,,,,,,,
1014,,,,,,,,,,,,,
1015," Как жили наши предки, как одевались зимой и летом; "," Каким ремеслами занимались, чем землю пахали, как траву косили; "," Как ткали и пряли, посуду из дерева и глины получали, соль варили, на охоту ходили; ", Почему на Руси строили из дерева; , Как строили дома. ,,,,,,,,
1016, Кто плачет в Гроте «тысячи озер»; , Есть ли в пещере клады. ," И, может быть, Вам посчастливится увидеть самого Пещерного духа! Ведь и сказки и легенды порой оживают! ",,,,,,,,,,
1017,,,,,,,,,,,,,
1018,,,,,,,,,,,,,
1019,,,,,,,,,,,,,
1020, Каких фазанов называют «уральскими попугаями»; , Зачем на фазанов одевают очки; , Почему именно фазанов называют жар - птицей; ," В каких странах любили изображать фазанов, и что обозначает данная символика. "," Кроме того, на территории крестьянского фермерского хозяйства мы увидим как выращивают растения для ландшафтного дизайна и познакомимся с профессиями фермера, биолога, садовника, цветовода. ",,,,,,,,
1021,,,,,,,,,,,,,
1022,,,,,,,,,,,,,
1023,,,,,,,,,,,,,
